user1_id,user2_id,connection_type,timestamp
1,2,peer_match,2026-01-08 20:50:06
1,6,peer_match,2026-01-08 20:50:15
1,12,peer_match,2026-01-08 20:50:20
1,14,peer_match,2026-01-08 20:50:22
1,3,peer_match,2026-01-08 20:50:26
1,11,peer_match,2026-01-08 20:50:31
1,15,peer_match,2026-01-08 20:50:32
1,9,peer_match,2026-01-08 20:50:39
1,4,peer_match,2026-01-08 20:50:52
1,1,dorm_interest_19,2026-01-08 22:06:26
1,2,dorm_interest_1,2026-01-09 13:53:02
2,4,peer_match,2026-01-09 13:56:15
2,10,peer_match,2026-01-09 13:56:18
2,3,peer_match,2026-01-09 13:56:24
2,7,peer_match,2026-01-09 13:56:25
1,2,dorm_interest_1,2026-01-09 14:09:05
